,Title,Company,Location,Date Posted,Summary,Job Link
0,Dental Technician,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 30+ days ago,"A formal education in dental laboratory technology is preferred.
Effectively communicating with orthodontists and other members of the dental team.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=f03f39d5cf38e9f0
1,Call Center Coordinator - School of Dental Medicine,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 1 day ago,The Dental School Call Center department is responsible for answering incoming phone calls efficiently for the entire school and identifying the patient’s needs…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=1f0d343ebbd5c50a
2,Research Assistant - School of Dental Medicine,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 30+ days ago,Tufts University School of Dental Medicine seeks a Research Assistant for an active basic science laboratory whose research focuses on translational studies on…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=060c5a8831a845c5
3,Dental Assistant,Massachusetts General Hospital(MGH),"Boston, MA 02113 (North End area)",PostedPosted 7 days ago,"Stocks dental operatories and maintains dental supplies in treatment areas.
Greets and escorts dental patients to the dental treatment area Prepares the dental…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=3543f1ad21e4bbca
4,Adjunct Clinical Instructor - Dental Hygiene,MCPHS,"Boston, MA 02115 (Fenway area)",PostedPosted 30+ days ago,"Understands the scope of practice for dental hygienists, and stays within these parameters while teaching in the FSDH clinic.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=2857b6b52bd345b8
5,Program Coordinator - School of Dental Medicine,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 30+ days ago,"Nationally and internationally, the school promotes health and educational programs and researches new procedures, materials, and technologies to improve oral…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=81a98c83ee0e1703
6,Dental Assisting Faculty - Massasoit Community College,Massasoit Community College,"Brockton, MA 02302",PostedToday,"Recent dental assisting methodology courses.
Orient and mentor part-time dental assisting program faculty.
Registered dental hygienist licensed in Massachusetts…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=84ae9cac0147ea83
7,Materials Assistant - School of Dental Medicine,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 6 days ago,"Nationally and internationally, the school promotes health and educational programs and researches new procedures, materials, and technologies to improve oral…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=01ee9f2dd4e1afe2
8,Dental Asst,University of Connecticut,"Farmington, CT 06030",PostedPosted 5 days ago,"Prepares dental restorative and prosthetic materials.
Illustrates proper preventive dental hygiene to patients; assures completeness and accuracy of dental…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=f90d36e48608fe34
9,Safety & Quality Assurance Officer - Dental Medicine,University of Connecticut,"Farmington, CT 06030",PostedPosted 2 days ago,"Must have training as a dentist, dental hygienist, dental assistant or dental laboratory technician.
Seven (7) years experience in dental medicine, which…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=a90017345cb0a1f9
10,Dental Assistant,East Boston Neighborhood Health Center,"Boston, MA 02128 (East Boston area)",PostedPosted 30+ days ago,"Previous experience in a dental or medical dept preferred.
Medical, dental, and vision coverage.
Able to navigate dental computer software and use as directed…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=b30c4c99daf6794a
11,Dental Practice Assistant,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 19 days ago,"Basic knowledge of dental and coding terminology.
1-3 years of dental office experience.
Basic knowledge of dental/medical billing software and Microsoft Office…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=c293badfa30e2284
12,ASSISTANT DIRECTOR FOR EMPLOYMENT AND TRAINING SERVICES (DLT),State of Rhode Island,"Cranston, RI 02920",PostedToday,"GENERAL STATEMENT OF DUTIES: To plan, organize and direct the work of the staff engaged in developing, monitoring and evaluating employment and training…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=8ed6d6e2c275f2f2
13,"PATIENT COORDINATOR, School of Dental, Dental Health Center",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 12 days ago,"Provides excellent customer service by greeting patients, answering phones, checking in patients, collecting copayments, directing patient concerns to the…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=2c402ca11d568cfb
14,Full Time Faculty Dental Hygiene (DHY),Mount Wachusett Community College,"Leominster, MA",PostedPosted 27 days ago,"Knowledge of dental hygiene education program accreditation.
Minimum of three years' experience teaching didactic, laboratory and clinical dental hygiene and/or…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=f4d23582c6a6e525
15,Dental Assistant,Cornerstone Dental Care,"Westborough, MA 01581",PostedPosted 1 day ago,"Work with and maintain all dental equipment.
At least one year of dental assisting experience.
Sterilize and prepare instruments for tray setups before dental…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861
16,Patient Registration Coordinator - Tufts Dental Facility for Special Needs,Tufts University,"Canton, MA",PostedPosted 19 days ago,The TDF program also provides a venue for teaching General Practice Residents through the Tufts GPR Program and 4th year dental students from TUSDM.,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=b8a2b6da1c2bf90f
17,Practice Administrator - School of Dental Medicine,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 30+ days ago,"Experience in a fast-paced dental/medical setting.
Must have demonstrated knowledge of medical/dental patient care systems or customer service platforms.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=625558633583ff68
18,"ASSISTANT REGISTRAR, School of Dental Medicine, Office of the Dean",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 13 days ago,"The incumbent must be able to work well with time-sensitive deadlines, exercise initiative, and be able to make independent judgement calls on a daily basis…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=a548e8609960de48
19,ASSISTANT DIRECTOR FOR EMPLOYMENT AND TRAINING SERVICES (DLT),State of Rhode Island,"Cranston, RI 02920",PostedToday,"GENERAL STATEMENT OF DUTIES: To plan, organize and direct the work of the staff engaged in developing, monitoring and evaluating employment and training…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=8ed6d6e2c275f2f2
20,"PATIENT COORDINATOR, School of Dental, Dental Health Center",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 12 days ago,"Provides excellent customer service by greeting patients, answering phones, checking in patients, collecting copayments, directing patient concerns to the…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=2c402ca11d568cfb
21,Dental Assistant FT,New England Dental Partners,"Boston, MA 02110 (Downtown area)",PostedPosted 23 days ago,"Preferred two years of dental practice experience.
Diploma or certificate from a CODA-accredited dental assisting program.
High School, GED, or HiSET diploma.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=4208a4388a934ddf
22,Dental Hygienist,Brigham & Women's Hospital(BWH),"Jamaica Plain, MA 02130",PostedPosted 30+ days ago,"Graduate of accredited dental hygiene school and Massachusetts license.
Must demonstrate appropriate knowledge of dental development and treatment of pediatric,…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=851ddcf5cead2b4a
23,"TREATMENT CENTER COORDINATOR, School of Dental Medicine, Orthodontics",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 30+ days ago,"Prior experience in healthcare in private practice office, hospital, clinic or dental practice preferred.
The Treatment Center Coordinator in the department of…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=cae251cb4fe1f440
24,Staff Dentist,Harvard University,"Cambridge, MA",PostedPosted 16 days ago,"Advises and instructs patients regarding preventive dental care, the causes and treatment of dental problems, and oral health care services.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=b55e5f44c3c97ae5
25,"Registered Nurse, Greater Roslindale Medical & Dental Center, 36 hours (Days/Evenings, Rotating Saturdays)",Boston Medical Center,"Roslindale, MA 02131",PostedPosted 13 days ago,"In accordance with the American Nurses Association's ""Standards of Clinical Nursing Practice,"" the registered staff nurse, under the general supervision of the…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=44a765735e941486
