Title,Company,Location,Salary,Job Type,Date Posted,Summary,Job Link
"Dental Director, Staff Dentist - UT Dentists, Harris Health System Dental Service",UTHealth Houston,"Houston, TX",,,PostedPosted 30+ days ago,"State-licensed dentist with significant experience in community-based dental clinic leadership and operations management.
Free financial and legal counseling.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=2f03874a383ee2c0
General Dentist,Rodeo Dental & Orthodontics Inc.,"Houston, TX 77076 (Northside-Northline area)",,,PostedPosted 28 days ago,"This position is typically a full-time general practice dentist working 40 hours per week.
Interact with other General Practice dentists on a daily basis in a…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=403aba1cbbbe626c
General Dentist,Aspire Dental,"Houston, TX 77008 (Heights area)",,,PostedPosted 7 days ago,"Schedule (days/hours): T,Th, F and 1 S per month.
8 AM to 5 PM Responsibilities:
Conduct thorough dental examinations, diagnose oral health issues, and develop…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=d538c40df0e165f1
Per Diem Dentist (Midtown/Southwest ),Avenue360 Health and Wellness,"Houston, TX",,,PostedPosted 30+ days ago,"Doctor of Dental Surgery (DDS), Doctor of Medicine in Dentistry (DMD) or similar degree that gives license to practice the dentist profession.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=502d931b07619235
General Dentist,Castle Dental,"Houston, TX 77054 (South Main area)",,,PostedPosted 30+ days ago,"Educates patients on oral healthcare and the prevention of dental problems.
Examines teeth and diagnoses patients’ dental conditions.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=7d8931200d14204a
"Coordinator, Patient Care Services- UT Dentists",UTHealth Houston,"Houston, TX",,,PostedPosted 21 days ago,Working knowledge of dental terminology understanding dental insurance and CDT/ICD-10 and experience with coordinating and presenting treatment plans is a plus!,https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=4ac1e478f14adb55
Dentist PRN,Walmart Health LLC,"Houston, TX 77063 (Westchase area)",,,PostedPosted 26 days ago,"We offer a competitive hourly rate, 401(K) with employer match, and more!
Diagnose oral diseases and create treatment plans to maintain or restore the oral…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=e70dd6c7bb9e7c07
General Dentist (Part Time),Vecino Health Centers,"Houston, TX 77020 (Denver Harbor - Port Houston area)",,,EmployerActive 2 days ago,"Confers with consulting dentists, patients, and patient's families concerning treatment and care of patients.
The Dentist will also be responsible for providing…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=3fd2b27735e362ef
Dentist,Midtown Dentistry,"Houston, TX 77055 (Spring Branch area)",,,PostedPosted 30+ days ago,You will be a key clinical leader responsible for delivering superior service to patients and leading a team within the practice while ensuring the highest…,https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=54891d04718a3d58
General Dentist Associate,Tidwell Dental Center,"Houston, TX 77022 (Northside-Northline area)",,,EmployerActive 2 days ago,"Established (20+yrs) small (3 operatory), family dental clinic (45N/E. Tidwell Rd) looking for a motivated and friendly Full-Time/Part-Time Associate.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=6b9cb85f82983cbc
Prosthodontist in Houston TX,A Dental Care,"Houston, TX 77093 (Eastex - Jensen area)",,,EmployerActive 2 days ago,"Seeking Prosthodontist in Houston! We are a fast growing, privately owned dental office in Houston, seeking a talented & enthusiastic Prosthodontist to join…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=332b5a9527522dca
Dentist,Swish Dental,"Houston, TX 77008 (Heights area)",,,PostedPosted 30+ days ago,We only see PPO and Fee for Service patients and cater to a high end patient experience.,https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=0da7a37328000bac
Associate Dentist,Dentist Tree of the Heights,"Houston, TX 77008 (Heights area)",,,PostedPosted 30+ days ago,"We have a beautiful practice with the latest technology.
Examining patients' teeth and gums to diagnose and treat various oral health issues.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=9609b8da208ae01a
Executive] & Business Coach for Dentists,Fortune,"Houston, TX 77002 (Downtown area)",,,EmployerActive 2 days ago,"With world class listening skills and the ability to ask crucial questions, as a coach you help dentists refine their vision of where they want to take their…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=0154a3d92f6a4bb5
General Dentist,Brident Dental & Orthodontics,"Houston, TX (Northside-Northline area)",,,PostedPosted 19 days ago,"The Managing Dentist, who usually has at least 3 years of experience, performs most of the new patient exams, mentors new dentists, and coordinates care for…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=7aee4f898aef8747
General Dentist - Associate,Vivid DentalPartners,"High Point, NC",,,PostedPosted 30+ days ago,"This opportunity is available immediately and includes an outstanding salary, as well as a full schedule of already established patients.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=92b602958cf2d82f
General Dentist,Dr Lane & Associates,"High Point, NC 27262",,,PostedPosted 9 days ago,"Sign-on Bonus and Partnership potential for the right candidate!
Our company offers competitive compensation and benefits such as medical, dental, 401K.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=070c0fc264d6788f
Dentist - DDS / DMD,Aspen Dental,"High Point, NC 27262",,,PostedPosted 30+ days ago,"As a part-time Aspen Dental dentist, you'll enjoy freedom and flexibility over scheduling backed by the support and resources of a nationwide network of experts…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=f8bcaa23347e267c
"Dentist, Part-time, Temporary",Guilford Technical Community College,"Jamestown, NC 27282",,,PostedPosted 30+ days ago,"Three years of clinical experience as a licensed dentist.
Providing clinical coverage as a dentist within an educational setting.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=b9ca2a54ab967b68
General Dentist,Ideal Dental,"High Point, NC 27265",,,PostedPosted 30+ days ago,"Clinical autonomy and support – in all aspects of HR, Marketing, and Operational Support.
We supply state-of-the-art equipment, including iTero scanners at…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=25bffaa6584f84e8
Associate Dentist,Royal Oak Dental Group,"High Point, NC 27265",,,PostedPosted 30+ days ago,"In this position, you'll find a multitude of exceptional advantages.
Health/Medical/Vision Insurance offered.
Must have 2+ years of dental experience.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=dc62dd352985d64d
"General Dentist - High Point, NC",Dental Care at Palladium,"High Point, NC 27265",,,PostedPosted 26 days ago,"Lead your ideal practice, invest in your community, leave a legacy, and do it all with the support of Heartland Dental!",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=a274416d5d4d53e7
"Temporary Doctor Position - High Point, North Carolina",Dental Care at Palladium,"High Point, NC 27265",,,PostedPosted 2 days ago,"You want to resource and network with colleague dentists.
As a Heartland Dental supported locum tenens dentist, we understand you work hard, we offer excellent…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=0b7e6baa5b16c63b
"Dentist (Thomasville, NC)",Kids Dental Brands,"Thomasville, NC 27360",,,PostedPosted 30+ days ago,"Specializing in pediatric dentistry for children aged 6 months to 20 years, our dentists are trained to conduct comprehensive examinations, diagnoses, and…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=d704a4afd8f7d8ce
Dentist,California State University,"Los Angeles, CA 90032 (El Sereno area)",,,PostedPosted 30+ days ago,The dentist performs direct patient dental care: interviewing patients and advising patients on preventative dental care; dental examinations; ordering and…,https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=b0ba485d53a1b923
Dentist,Arroyo Vista Family Health Center,"Los Angeles, CA 90042 (Highland Park area)",,,EmployerActive 5 days ago,"The dentist will perform other job related duties as required by departmental needs and demands.
The dentist will provide all aspects of dental services in…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=ace577f32ecdd1e2
Dentist,"California State University, Los Angeles","Los Angeles, CA 90032 (El Sereno area)",,,PostedPosted 30+ days ago,The dentist performs direct patient dental care: interviewing patients and advising patients on preventative dental care; dental examinations; ordering and…,https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=289da1e64b3e5407
Part-time Associate Dentist,River Dentistry,"Los Angeles, CA 90071 (Downtown area)",,,PostedPosted 30+ days ago,"The associate dentist will provide high-quality compassionate dental care to new and established patients, including general dentistry, oral surgery, treatment…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=ceee710cea132091
DENTIST,County of Los Angeles,"Los Angeles, CA 90010",,,PostedPosted 30+ days ago,"Performs prophylaxes and instructs patients on proper dental care.
Performs dental examinations and determines appropriate dental care and treatment.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=15a024965364e114
Associate Dentist,Smileland Dental,"Maywood, CA 90270",,,EmployerActive 2 days ago,"Highly organized busy group practice is seeking a qualified dentist with a minimum of 2 years experience for full or part time.
Job Types: Full-time, Part-time.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=83af7d26f5de6a42
Associate General Dentist,SAN FERNANDO FAMILY DENTAL,"Los Angeles, CA 90065 (Glassell Park area)",,,EmployerActive 8 days ago,"As a Dentist, you will provide comprehensive dental care to patients, ensuring their oral health and well-being.
Job Types: Full-time, Part-time.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=27fca3b01a3e872d
Associate Dentist,C Dental,"Los Angeles, CA",,,EmployerActive 7 days ago,"Job Types: Full-time, Part-time.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=aea6480d20d25471
General Dentist,Dental Community Clinic,"Los Angeles, CA 90033 (Boyle Heights area)",,,EmployerActive 8 days ago,"The Dentist will meet with patients, assess their dental health, perform scheduled cleanings, handle complex procedures, such as root canals, extractions, and…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=fc375c76e2ac0a05
