Title,Company,Location,Salary,Snippet,Date Posted,Job Url
Custodian A,Covetrus —,,,"Alternative to contractor services and therefore must manage itself under the same principles. Harvard Facilities Access, Discounts and Perks: Access to Harvard…",4d,https://www.simplyhired.com/job/3OMF11Ui3jFj2XXKAO0Y-UN0nT01NQBEyyuEVmVUdseAEFybOoclJw
Fare Engagement Team Representative,Covetrus —,,$45 an hour,"Assist customers and employees in the field with any issues that arise. Proactively helps, answers customer inquiries, and maintains a courteous and friendly…",6d,https://www.simplyhired.com/job/LHoGRb5GUbdzVuth1UkwUcPkCbqzIGdk3gC1D2cNO0HXuhhAKGhPuw
General Cleaner - 40Hrs - Evenings and Rotating Weekends,Covetrus —,,,"Sets up and cleans meeting rooms per specifications of department requester. Prepares patient rooms for occupancy upon patient discharge or transfer including,…",4h,https://www.simplyhired.com/job/iv9CkxgUQ55F5sm4rFou_iWCronGQr4Dhw4ZbruwQpep53miLnxNbA
"Network Company President - Arlington, MA",Covetrus —,,,"Alternatively, a background in impactful operations leadership (such as military, logistics, field services, etc.) would also be highly advantageous.",4d,https://www.simplyhired.com/job/60mM11f_4pTxzq88K-I2BPFSUoPaSGFfMpp9p8N_tp6MPbME15wzbQ
General Manager,Covetrus —,,"$65,000 a year","An ideal candidate is a coachable problem solver who wants to grow and develop as a leader. Build and develop your team, provide training and leadership where…",3d,https://www.simplyhired.com/job/2TvfifoAxLm7hbn9964syDW_4EwfgZMlSp67hx4_6lR6eJBAxyZq2w
Dental Patient Care Coordinator,Covetrus —,,$28 - $33 an hour,"Greet and check-in patients at the front desk, ensuring a positive and welcoming experience. Answer phone calls and respond to patient inquiries in a timely and…",4d,https://www.simplyhired.com/job/Ibg26GufYra8PGeC6sYONJ98VckAjXCUcgq2mUWJkCwrIS6Cu0tnjQ
Patient Experience Representative (Call center) Dental,Covetrus —,,,"Answer, screen, and route telephone calls. Record and forward messages and triage calls for urgent information or services. Patient Flow Coordination a.",3d,https://www.simplyhired.com/job/JfycmZ3F0hMcAJ8WK-B37OTyMX8AVb3go4MxFAro1asNnAc8zu_Geg
Bartender - 8072,Covetrus —,,"$800 - $1,500 a week","WWith genuine hospitality, a *Bartender* will deliver an exceptionally distinctive dining experience by crafting every alcoholic and nonalcoholic drink to…",5d,https://www.simplyhired.com/job/U2O5mNTzLFdkbH3nGIaTAGljog1kh-aQm1jtfYFXYZv-nE28WTgAQQ
CUSTOMER AMBASSADOR (FULL TIME),Covetrus —,,$20 an hour,"Drives a hospitality environment by greeting guests, offering samples, touching tables, and leading guest-facing marketing and wellness programs.",8h,https://www.simplyhired.com/job/Z_5LFCgOXGOyNk0f5GnGaxYzxjiL1vsShPpwxhNFbbvMvvh9ziZ07Q
Server,Covetrus —,,$25 - $35 an hour,"Review and develop guest history records to enhance personalized service for repeat guests. Be thoroughly familiar with all menu items, including ingredients…",3h,https://www.simplyhired.com/job/ChAv3DTSPLKuwfA52jn_qM5cGCSb7PFwFDOTa10A2q5k6I1-mkP44w
